59,384,594.11,92.605,269.92,707.02,1
59,433,625.74,54.009,261.48,670.18,1
59,444,701.65,25.939,217.2,696.49,1
59,447,689,39.974,263.59,650.88,1
59,458,606.76,76.816,259.37,705.26,1
59,459,716.41,29.447,229.85,666.67,1
59,586,570.91,106.64,326.85,693.86,1
59,744,657.37,76.816,274.14,723.68,1
59,745,684.78,31.202,274.14,629.82,1
59,746,726.96,27.693,212.98,598.25,1
59,747,712.2,29.447,206.66,598.25,1
59,791,670.02,75.061,265.7,680.7,1
59,1129,570.91,85.588,312.09,707.02,1
59,1145,665.8,80.325,200.33,720.18,1
59,1478,716.41,85.588,225.63,638.6,1
59,1479,646.83,129.45,274.14,617.54,1
59,1601,699.54,62.781,267.81,677.19,1
59,1602,655.26,97.868,291,702.63,1
59,1765,621.52,97.868,189.79,702.63,1
59,1766,718.52,45.237,175.02,659.65,1
59,1920,617.3,99.623,244.61,700.88,1
59,2016,691.11,55.763,170.81,681.58,1
59,2579,554.04,117.17,280.46,683.33,1
59,2705,617.3,97.868,246.72,675.44,1
59,2890,655.26,82.079,299.44,701.75,1
59,2891,724.85,41.728,234.07,631.58,1
59,2921,623.63,80.325,269.92,720.18,1
59,2959,617.3,64.535,314.2,719.3,1
59,3013,587.78,162.78,246.72,637.72,1
59,3286,537.17,154.01,318.42,646.49,1
59,3412,412.76,124.18,503.99,676.32,1
59,3413,412.76,84.711,526.13,715.79,1
59,3414,412.76,45.237,548.27,755.26,1
59,3415,511.87,25.939,449.16,774.56,1
59,3416,511.87,25.939,449.16,774.56,1
59,3417,528.74,25.939,432.29,774.56,1
59,3418,551.93,25.939,409.09,774.56,1
59,3419,621.52,25.939,339.51,774.56,1
59,3420,682.67,57.518,267.81,698.25,1
59,3431,642.61,131.2,212.98,669.3,1
59,3494,640.5,71.553,265.7,675.44,1
59,3618,623.63,75.061,236.18,692.98,1
